"method","mse","loading_error","false_positive_rate","false_negative_rate","mean_factor_score_cor","used_alpha","rotation_method","n","p","m","alpha","gamma","sigma_sq","rep","lambda","error_message"
"PCA",6.40222355273611,18.6349013497515,0.51,0.27,-0.0470676942597573,NA,NA,500,100,5,0.5,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.5680994625384,18.6344137224642,0.5125,0,-0.0233954910106421,1e-17,NA,500,100,5,0.5,1,5,1,NA,NA
"EFA (varimax)",5.02234818213047,9.06385171401496,0.54,0,0.355206080523887,NA,"varimax",500,100,5,0.5,1,5,1,NA,NA
"EFA (oblimin)",5.02234818213047,14.3168497626617,0.6975,0.25,0.182913083837438,NA,"oblimin",500,100,5,0.5,1,5,1,NA,NA
"EFA (quartimin)",5.02234818213047,14.3168497626617,0.6975,0.25,0.182913083837438,NA,"quartimin",500,100,5,0.5,1,5,1,NA,NA
"EFA (quartimax)",5.02234818213047,9.06385171401496,0.5475,0,0.386266523723913,NA,"quartimax",500,100,5,0.5,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,5,0.5,1,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,5,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,5,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,5,0.5,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.5,1,5,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",5.83993625917885,36.9101015863326,0.4025,0.37,0.0330080465504275,NA,NA,500,200,5,0.5,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.71068396303716,36.9091999933272,0.3725,0.01,0.00927786762150178,1e-17,NA,500,200,5,0.5,1,5,1,NA,NA
"EFA (varimax)",5.00698750838748,20.1057090661725,0.48875,0,0.375722888123364,NA,"varimax",500,200,5,0.5,1,5,1,NA,NA
"EFA (oblimin)",5.00698750838748,19.6558780571982,0.48125,0,0.361100979828895,NA,"oblimin",500,200,5,0.5,1,5,1,NA,NA
"EFA (quartimin)",5.00698750838748,19.6558780571982,0.48125,0,0.361100979828895,NA,"quartimin",500,200,5,0.5,1,5,1,NA,NA
"EFA (quartimax)",5.00698750838748,20.1057090661724,0.48625,0,0.372288310407821,NA,"quartimax",500,200,5,0.5,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,5,0.5,1,5,1,0.1,NA
"PCA",6.18895950174545,4.87006422864143,0.709090909090909,0.3,0.227189592668889,NA,NA,100,50,3,0.8,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.25129677999073,4.87001532964692,0.645454545454546,0,0.282808502173395,1e-17,NA,100,50,3,0.8,1,5,1,NA,NA
"EFA (varimax)",4.79426040328276,4.12582109812025,0.8,0.05,0.285347781623412,NA,"varimax",100,50,3,0.8,1,5,1,NA,NA
"EFA (oblimin)",4.79426040328276,4.56905816266151,0.809090909090909,0.15,0.269494490606698,NA,"oblimin",100,50,3,0.8,1,5,1,NA,NA
"EFA (quartimin)",4.79426040328276,4.56905816266151,0.809090909090909,0.15,0.269494490606698,NA,"quartimin",100,50,3,0.8,1,5,1,NA,NA
"EFA (quartimax)",4.79426040328276,4.12582109812025,0.818181818181818,0,0.251124896266828,NA,"quartimax",100,50,3,0.8,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,3,0.8,1,5,1,0.1,NA
"PCA",5.88567917927226,4.613928626513,0.672727272727273,0.2,0.285878908173174,NA,NA,500,50,3,0.8,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.54561559559711,4.61387832996457,0.672727272727273,0,0.343424172485373,1e-17,NA,500,50,3,0.8,1,5,1,NA,NA
"EFA (varimax)",5.00476662901825,3.33631508868994,0.645454545454546,0,0.263220525384896,NA,"varimax",500,50,3,0.8,1,5,1,NA,NA
"EFA (oblimin)",5.00476662901825,4.09648692736515,0.718181818181818,0.05,0.323323799413865,NA,"oblimin",500,50,3,0.8,1,5,1,NA,NA
"EFA (quartimin)",5.00476662901825,4.09648692736515,0.718181818181818,0.05,0.323323799413865,NA,"quartimin",500,50,3,0.8,1,5,1,NA,NA
"EFA (quartimax)",5.00476662901825,3.33631508868994,0.681818181818182,0,0.318350652508554,NA,"quartimax",500,50,3,0.8,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,3,0.8,1,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,3,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,3,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,3,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.8,1,5,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",5.80035487498604,9.42615150686848,0.572727272727273,0.3,-0.271718330233082,NA,NA,500,100,3,0.8,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.74140224168868,9.42602065501641,0.554545454545455,0,-0.311250862588351,1e-17,NA,500,100,3,0.8,1,5,1,NA,NA
"EFA (varimax)",5.07368075681693,5.69911696402161,0.572727272727273,0,0.32601363050921,NA,"varimax",500,100,3,0.8,1,5,1,NA,NA
"EFA (oblimin)",5.07368075681693,7.95165313280044,0.718181818181818,0.025,0.314520752057339,NA,"oblimin",500,100,3,0.8,1,5,1,NA,NA
"EFA (quartimin)",5.07368075681693,7.95165313280044,0.718181818181818,0.025,0.314520752057339,NA,"quartimin",500,100,3,0.8,1,5,1,NA,NA
"EFA (quartimax)",5.07368075681693,5.69911696402162,0.536363636363636,0,0.31545681622413,NA,"quartimax",500,100,3,0.8,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,3,0.8,1,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,3,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,3,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,3,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.8,1,5,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",6.12897712687479,18.7977237541455,0.481818181818182,0.4625,-0.316296652136098,NA,NA,500,200,3,0.8,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.78319035790793,18.7974175392247,0.431818181818182,0,-0.345747187836901,1e-17,NA,500,200,3,0.8,1,5,1,NA,NA
"EFA (varimax)",5.05045711673232,9.31122579219628,0.554545454545455,0,0.363516687774054,NA,"varimax",500,200,3,0.8,1,5,1,NA,NA
"EFA (oblimin)",5.05045711673232,10.7885766935618,0.55,0,0.31034215639476,NA,"oblimin",500,200,3,0.8,1,5,1,NA,NA
"EFA (quartimin)",5.05045711673232,10.7885766935618,0.55,0,0.31034215639476,NA,"quartimin",500,200,3,0.8,1,5,1,NA,NA
"EFA (quartimax)",5.05045711673232,9.31122579219628,0.540909090909091,0,0.313290119198301,NA,"quartimax",500,200,3,0.8,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,3,0.8,1,5,1,0.1,NA
"PCA",7.95351768888142,4.94722524934188,0.7,0.25,-0.148882173137183,NA,NA,100,50,5,0.8,1,5,1,NA,NA
"Sparse PCA (Fixed)",3.70824121776703,4.94720083131134,0.676190476190476,0,-0.192680625922578,1e-17,NA,100,50,5,0.8,1,5,1,NA,NA
"EFA (varimax)",4.53393741974808,4.50840906994868,0.776190476190476,0.05,0.130812045677711,NA,"varimax",100,50,5,0.8,1,5,1,NA,NA
"EFA (oblimin)",4.53393741974808,4.75685756046454,0.79047619047619,0.1,0.126169824186882,NA,"oblimin",100,50,5,0.8,1,5,1,NA,NA
"EFA (quartimin)",4.53393741974808,4.75685756046454,0.79047619047619,0.1,0.126169824186882,NA,"quartimin",100,50,5,0.8,1,5,1,NA,NA
"EFA (quartimax)",4.53393741974808,4.50840906994868,0.738095238095238,0.025,0.166779311911277,NA,"quartimax",100,50,5,0.8,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,5,0.8,1,5,1,0.1,NA
"PCA",6.79155172081813,4.81624984013227,0.695238095238095,0.325,-0.117587050475272,NA,NA,500,50,5,0.8,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.24921193645913,4.81621626713824,0.661904761904762,0,-0.161777840358849,1e-17,NA,500,50,5,0.8,1,5,1,NA,NA
"EFA (varimax)",4.89873738457242,3.78332922194828,0.585714285714286,0.025,0.188837775447839,NA,"varimax",500,50,5,0.8,1,5,1,NA,NA
"EFA (oblimin)",4.89873738457242,4.43951244918492,0.647619047619048,0.225,0.195537681320704,NA,"oblimin",500,50,5,0.8,1,5,1,NA,NA
"EFA (quartimin)",4.89873738457242,4.43951244918492,0.647619047619048,0.225,0.195537681320704,NA,"quartimin",500,50,5,0.8,1,5,1,NA,NA
"EFA (quartimax)",4.89873738457242,3.78332922194828,0.542857142857143,0,0.205776724855103,NA,"quartimax",500,50,5,0.8,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,5,0.8,1,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,5,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,5,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,5,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.8,1,5,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",6.70753763725955,9.9216991542696,0.578571428571429,0.4,0.190617556996286,NA,NA,500,100,5,0.8,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.47809542943343,9.92162115428648,0.585714285714286,0,0.212574636785337,1e-17,NA,500,100,5,0.8,1,5,1,NA,NA
"EFA (varimax)",4.9466352489101,6.86280071074705,0.545238095238095,0,0.190719465090802,NA,"varimax",500,100,5,0.8,1,5,1,NA,NA
"EFA (oblimin)",4.9466352489101,8.97953477135255,0.719047619047619,0.2,0.135584930002477,NA,"oblimin",500,100,5,0.8,1,5,1,NA,NA
"EFA (quartimin)",4.9466352489101,8.97953477135255,0.719047619047619,0.2,0.135584930002477,NA,"quartimin",500,100,5,0.8,1,5,1,NA,NA
"EFA (quartimax)",4.9466352489101,6.86280071074705,0.538095238095238,0,0.193337738060399,NA,"quartimax",500,100,5,0.8,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,5,0.8,1,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,5,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,5,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,5,0.8,1,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.8,1,5,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",6.66132143450111,19.8346884895049,0.445238095238095,0.53125,0.206691883378996,NA,NA,500,200,5,0.8,1,5,1,NA,NA
"Sparse PCA (Fixed)",4.69450252807641,19.8345317468278,0.466666666666667,0.00625,0.227753967315029,1e-17,NA,500,200,5,0.8,1,5,1,NA,NA
"EFA (varimax)",5.05166394992613,12.6544986606828,0.514285714285714,0,0.196853827682899,NA,"varimax",500,200,5,0.8,1,5,1,NA,NA
"EFA (oblimin)",5.05166394992613,17.8652122047207,0.683333333333333,0.2375,0.193814840095458,NA,"oblimin",500,200,5,0.8,1,5,1,NA,NA
"EFA (quartimin)",5.05166394992613,17.8652122047207,0.683333333333333,0.2375,0.193814840095458,NA,"quartimin",500,200,5,0.8,1,5,1,NA,NA
"EFA (quartimax)",5.05166394992613,12.6544986606828,0.530952380952381,0,0.192992009287784,NA,"quartimax",500,200,5,0.8,1,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,5,0.8,1,5,1,0.1,NA
"PCA",5.17333899508781,4.00346319825303,0.7,0.363636363636364,-0.149380423078654,NA,NA,100,50,3,0.2,2,5,1,NA,NA
"Sparse PCA (Fixed)",4.21946692314357,4.00344472224151,0.85,0.290909090909091,-0.125886923058889,1e-17,NA,100,50,3,0.2,2,5,1,NA,NA
"EFA (varimax)",4.65408011339307,3.9467332799706,0.775,0.281818181818182,0.382904545252882,NA,"varimax",100,50,3,0.2,2,5,1,NA,NA
"EFA (oblimin)",4.65408011339307,4.0549261309046,0.925,0.236363636363636,0.243156378797269,NA,"oblimin",100,50,3,0.2,2,5,1,NA,NA
"EFA (quartimin)",4.65408011339307,4.0549261309046,0.925,0.236363636363636,0.243156378797269,NA,"quartimin",100,50,3,0.2,2,5,1,NA,NA
"EFA (quartimax)",4.65408011339307,3.9467332799706,0.925,0.227272727272727,0.222480238513954,NA,"quartimax",100,50,3,0.2,2,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,3,0.2,2,5,1,0.1,NA
"PCA",5.38256934445176,3.29158710481673,0.625,0.281818181818182,-0.328173235267842,NA,NA,500,50,3,0.2,2,5,1,NA,NA
"Sparse PCA (Fixed)",4.53542188616554,3.29154323062223,0.525,0.236363636363636,-0.380103037218409,1e-17,NA,500,50,3,0.2,2,5,1,NA,NA
"EFA (varimax)",4.90479118717256,2.69462570764118,0.675,0.309090909090909,0.36041235294525,NA,"varimax",500,50,3,0.2,2,5,1,NA,NA
"EFA (oblimin)",4.90479118717256,2.64879907949931,0.625,0.263636363636364,0.37761849797437,NA,"oblimin",500,50,3,0.2,2,5,1,NA,NA
"EFA (quartimin)",4.90479118717256,2.64879907949931,0.625,0.263636363636364,0.37761849797437,NA,"quartimin",500,50,3,0.2,2,5,1,NA,NA
"EFA (quartimax)",4.90479118717256,2.69462570764118,0.6,0.245454545454545,0.374965779023193,NA,"quartimax",500,50,3,0.2,2,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,3,0.2,2,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,3,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,3,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,3,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.2,2,5,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",5.02441281626012,7.12815258556675,0.425,0.386363636363636,-0.131859057339392,NA,NA,500,100,3,0.2,2,5,1,NA,NA
"Sparse PCA (Fixed)",4.69750391622869,7.12804299237966,0.5625,0.359090909090909,-0.0849090365353849,1e-17,NA,500,100,3,0.2,2,5,1,NA,NA
"EFA (varimax)",4.92730653087371,5.67895265155164,0.525,0.295454545454545,0.478990260371686,NA,"varimax",500,100,3,0.2,2,5,1,NA,NA
"EFA (oblimin)",4.92730653087371,5.61753712527674,0.5375,0.281818181818182,0.472195827022162,NA,"oblimin",500,100,3,0.2,2,5,1,NA,NA
"EFA (quartimin)",4.92730653087371,5.61753712527674,0.5375,0.281818181818182,0.472195827022162,NA,"quartimin",500,100,3,0.2,2,5,1,NA,NA
"EFA (quartimax)",4.92730653087371,5.67895265155164,0.5625,0.281818181818182,0.45989782035228,NA,"quartimax",500,100,3,0.2,2,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,3,0.2,2,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,3,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,3,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,3,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.2,2,5,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",4.97162114779099,11.2938420801967,0.3,0.515909090909091,-0.0699692434715234,NA,NA,500,200,3,0.2,2,5,1,NA,NA
"Sparse PCA (Fixed)",4.84137145213591,11.2935622842023,0.3375,0.506818181818182,-0.0378811813012715,1e-17,NA,500,200,3,0.2,2,5,1,NA,NA
"EFA (varimax)",5.00138713206768,7.77535861643518,0.54375,0.315909090909091,0.581257173194028,NA,"varimax",500,200,3,0.2,2,5,1,NA,NA
"EFA (oblimin)",5.00138713206768,7.54371766438204,0.45,0.295454545454545,0.588884098267516,NA,"oblimin",500,200,3,0.2,2,5,1,NA,NA
"EFA (quartimin)",5.00138713206768,7.54371766438204,0.45,0.295454545454545,0.588884098267516,NA,"quartimin",500,200,3,0.2,2,5,1,NA,NA
"EFA (quartimax)",5.00138713206768,7.77535861643517,0.4375,0.290909090909091,0.590789349260625,NA,"quartimax",500,200,3,0.2,2,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,3,0.2,2,5,1,0.1,NA
"PCA",6.76364659031639,3.91144485322813,0.6875,0.347058823529412,0.122780001722201,NA,NA,100,50,5,0.2,2,5,1,NA,NA
"Sparse PCA (Fixed)",3.87452964830117,3.91143055629541,0.7125,0.264705882352941,0.148119032089522,1e-17,NA,100,50,5,0.2,2,5,1,NA,NA
"EFA (varimax)",4.56043218699772,3.85858122016601,0.775,0.235294117647059,0.234248358583007,NA,"varimax",100,50,5,0.2,2,5,1,NA,NA
"EFA (oblimin)",4.56043218699771,3.89952461869276,0.7875,0.229411764705882,0.183420529196536,NA,"oblimin",100,50,5,0.2,2,5,1,NA,NA
"EFA (quartimin)",4.56043218699771,3.89952461869276,0.7875,0.229411764705882,0.183420529196536,NA,"quartimin",100,50,5,0.2,2,5,1,NA,NA
"EFA (quartimax)",4.56043218699772,3.85858122016601,0.7625,0.217647058823529,0.175174802445038,NA,"quartimax",100,50,5,0.2,2,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,5,0.2,2,5,1,0.1,NA
"PCA",5.78095974088301,3.90678094203993,0.6625,0.358823529411765,0.16956773142171,NA,NA,500,50,5,0.2,2,5,1,NA,NA
"Sparse PCA (Fixed)",4.20587494236534,3.90675707859727,0.6625,0.211764705882353,0.217288524784002,1e-17,NA,500,50,5,0.2,2,5,1,NA,NA
"EFA (varimax)",4.77753055030157,3.5874865659691,0.65,0.364705882352941,0.199519412973721,NA,"varimax",500,50,5,0.2,2,5,1,NA,NA
"EFA (oblimin)",4.77753055030157,3.79463096922391,0.6875,0.352941176470588,0.125181579242308,NA,"oblimin",500,50,5,0.2,2,5,1,NA,NA
"EFA (quartimin)",4.77753055030157,3.79463096922391,0.6875,0.352941176470588,0.125181579242308,NA,"quartimin",500,50,5,0.2,2,5,1,NA,NA
"EFA (quartimax)",4.77753055030157,3.5874865659691,0.6375,0.323529411764706,0.205131929895651,NA,"quartimax",500,50,5,0.2,2,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,5,0.2,2,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,5,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,5,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,5,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.2,2,5,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",5.45912709044279,7.82123739137458,0.4875,0.417647058823529,-0.204663787050857,NA,NA,500,100,5,0.2,2,5,1,NA,NA
"Sparse PCA (Fixed)",4.6052510515545,7.82116071114656,0.54375,0.341176470588235,-0.303376578288746,1e-17,NA,500,100,5,0.2,2,5,1,NA,NA
"EFA (varimax)",4.95371323336522,6.54883369495575,0.60625,0.341176470588235,0.199079442452538,NA,"varimax",500,100,5,0.2,2,5,1,NA,NA
"EFA (oblimin)",4.95371323336522,7.20889535777908,0.65625,0.347058823529412,0.185145837763842,NA,"oblimin",500,100,5,0.2,2,5,1,NA,NA
"EFA (quartimin)",4.95371323336522,7.20889535777908,0.65625,0.347058823529412,0.185145837763842,NA,"quartimin",500,100,5,0.2,2,5,1,NA,NA
"EFA (quartimax)",4.95371323336522,6.54883369495575,0.575,0.311764705882353,0.183166834428525,NA,"quartimax",500,100,5,0.2,2,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,5,0.2,2,5,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,5,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,5,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,5,0.2,2,5,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.2,2,5,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",5.22359505825597,15.8236078036884,0.415625,0.567647058823529,0.281038310634213,NA,NA,500,200,5,0.2,2,5,1,NA,NA
"Sparse PCA (Fixed)",4.71471521675271,15.8234032120683,0.390625,0.507352941176471,0.34024738031093,1e-17,NA,500,200,5,0.2,2,5,1,NA,NA
"EFA (varimax)",4.93829722158618,12.4934464190711,0.465625,0.344117647058824,0.316202961677079,NA,"varimax",500,200,5,0.2,2,5,1,NA,NA
"EFA (oblimin)",4.93829722158618,12.1981423654946,0.490625,0.363235294117647,0.330393625193586,NA,"oblimin",500,200,5,0.2,2,5,1,NA,NA
"EFA (quartimin)",4.93829722158618,12.1981423654946,0.490625,0.363235294117647,0.330393625193586,NA,"quartimin",500,200,5,0.2,2,5,1,NA,NA
"EFA (quartimax)",4.93829722158618,12.4934464190711,0.490625,0.361764705882353,0.331165188091695,NA,"quartimax",500,200,5,0.2,2,5,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,5,0.2,2,5,1,0.1,NA
"PCA",5.7921679097354,7.97523232271882,0.61,0.22,-0.262287068778047,NA,NA,100,50,3,0.5,2,5,1,NA,NA
